ticket_id,ticket_description,category,priority,resolution_time_hours,assigned_team,status,created_date,cleaned_text
1043,Azure VM not responding,Cloud Issue,Critical,5.99,Network Team,In Progress,2025-08-02,azure vm responding
1044,Software license expired,Software Issue,Low,11.68,Cloud Team,Resolved,2026-05-02,software license expired
1045,Unable to login after password reset,Password Reset,Medium,5.63,Security Team,Open,2026-05-07,unable login password reset
1046,Unable to access internal network,Network Issue,High,9.77,Cloud Team,Open,2025-09-25,unable access internal network
1047,Unauthorized access attempt,Security Incident,Critical,2.6,IT Support,Resolved,2025-08-24,unauthorized access attempt
1048,Application crashing frequently,Software Issue,High,1.87,IT Support,Resolved,2026-03-29,application crashing frequently
1049,API returning unexpected error,Application Bug,Low,9.0,Database Team,Closed,2025-12-14,api returning unexpected error
1050,WiFi disconnecting frequently,Network Issue,Medium,5.48,IT Support,In Progress,2025-09-25,wifi disconnecting frequently
1051,Unable to install software update,Software Issue,High,4.1,Application Team,Closed,2025-07-22,unable install software update
1052,Cloud storage access denied,Cloud Issue,Critical,4.56,Security Team,Open,2026-06-12,cloud storage access denied
1053,Monitor display flickering,Hardware Issue,Critical,7.49,Database Team,Resolved,2026-01-20,monitor display flickering
1054,Unauthorized access attempt,Security Incident,High,8.91,Database Team,Resolved,2026-04-25,unauthorized access attempt
1055,Azure VM not responding,Cloud Issue,Medium,2.13,IT Support,In Progress,2026-06-17,azure vm responding
1056,Password reset link not working,Password Reset,Medium,2.62,Database Team,Resolved,2025-07-13,password reset link working
1057,Unable to install software update,Software Issue,Low,6.91,Cloud Team,Closed,2025-11-28,unable install software update
1058,Unable to login after password reset,Password Reset,High,8.67,Application Team,In Progress,2025-07-21,unable login password reset
1059,Suspicious login detected,Security Incident,Critical,5.75,IT Support,Closed,2025-08-20,suspicious login detected
1060,Email attachments not opening,Email Issue,High,2.51,Cloud Team,Closed,2025-06-22,email attachments opening
1061,Suspicious login detected,Security Incident,Critical,9.24,Database Team,In Progress,2026-02-24,suspicious login detected
1062,Cloud storage access denied,Cloud Issue,Critical,5.48,Cloud Team,Open,2026-06-01,cloud storage access denied
1063,Email attachments not opening,Email Issue,Low,3.18,Security Team,In Progress,2025-10-12,email attachments opening
1064,Form submission failed,Application Bug,Medium,3.47,Security Team,Closed,2025-12-12,form submission failed
1065,Cloud storage access denied,Cloud Issue,Critical,7.38,Security Team,Closed,2025-09-11,cloud storage access denied
1066,AWS server instance down,Cloud Issue,Low,4.45,IT Support,In Progress,2025-10-12,aws server instance
1067,SQL server connection timeout,Database Issue,Medium,9.83,Cloud Team,Resolved,2025-10-20,sql server connection timeout
1068,Unable to connect to company VPN,VPN Access,Medium,7.29,Application Team,In Progress,2026-01-22,unable connect company vpn
1069,Dashboard not loading correctly,Application Bug,Critical,2.06,Security Team,Resolved,2026-02-03,dashboard loading correctly
1070,Form submission failed,Application Bug,High,11.16,Cloud Team,In Progress,2026-02-27,form submission failed
1071,Unable to login after password reset,Password Reset,Critical,5.35,Application Team,Open,2025-08-21,unable login password reset
1072,Azure VM not responding,Cloud Issue,High,7.94,Database Team,Resolved,2025-12-22,azure vm responding
1073,Unable to connect to database,Database Issue,Low,8.51,Network Team,Open,2025-10-01,unable connect database
1074,Azure VM not responding,Cloud Issue,High,6.82,Security Team,Resolved,2026-04-09,azure vm responding
1075,Outlook not syncing emails,Email Issue,High,7.11,Security Team,Closed,2025-10-25,outlook syncing emails
1076,API returning unexpected error,Application Bug,High,11.17,Security Team,Resolved,2025-07-28,api returning unexpected error
1077,Application crashing frequently,Software Issue,Low,7.2,Network Team,Resolved,2026-05-24,application crashing frequently
1078,Malware alert triggered,Security Incident,High,10.38,Network Team,In Progress,2025-09-07,malware alert triggered
1079,Database query execution failed,Database Issue,High,5.54,Database Team,Closed,2026-04-09,database query execution failed
1080,Outlook not syncing emails,Email Issue,Medium,4.61,Security Team,Open,2026-02-27,outlook syncing emails
1081,WiFi disconnecting frequently,Network Issue,Medium,11.2,IT Support,Open,2025-07-21,wifi disconnecting frequently
1082,Unauthorized access attempt,Security Incident,Medium,10.17,IT Support,Closed,2026-04-12,unauthorized access attempt
1083,Internet speed extremely slow,Network Issue,Low,4.11,Cloud Team,Open,2026-05-09,internet speed extremely slow
1084,Software license expired,Software Issue,High,4.41,Database Team,Open,2026-01-25,software license expired
1085,AWS server instance down,Cloud Issue,High,9.85,Application Team,In Progress,2026-02-13,aws server instance
1086,Password reset link not working,Password Reset,High,10.24,Database Team,Open,2025-11-30,password reset link working
1087,WiFi disconnecting frequently,Network Issue,Critical,3.0,Application Team,Resolved,2026-01-17,wifi disconnecting frequently
1088,Unable to install software update,Software Issue,High,10.46,Cloud Team,In Progress,2026-03-01,unable install software update
1089,Form submission failed,Application Bug,Medium,2.62,Network Team,Open,2025-08-09,form submission failed
1090,Password reset link not working,Password Reset,Medium,5.67,Database Team,In Progress,2025-09-30,password reset link working
1091,Application crashing frequently,Software Issue,Medium,2.3,Network Team,Closed,2025-12-21,application crashing frequently
1092,Forgot system password,Password Reset,High,7.91,Application Team,Closed,2025-11-16,forgot system password
1093,Suspicious login detected,Security Incident,High,11.11,IT Support,Open,2026-05-22,suspicious login detected
1094,Cloud storage access denied,Cloud Issue,High,3.14,Database Team,In Progress,2025-09-19,cloud storage access denied
1095,Password reset link not working,Password Reset,Medium,4.78,IT Support,Resolved,2025-11-28,password reset link working
1096,Unable to login after password reset,Password Reset,Low,10.01,Cloud Team,In Progress,2026-01-31,unable login password reset
1097,Unable to access internal network,Network Issue,Medium,4.35,Application Team,Open,2026-05-25,unable access internal network
1098,Unable to connect to database,Database Issue,Medium,5.29,Network Team,Closed,2026-05-28,unable connect database
1099,Malware alert triggered,Security Incident,Low,11.38,Security Team,Closed,2026-02-07,malware alert triggered
1100,Database query execution failed,Database Issue,Critical,3.12,Database Team,In Progress,2026-05-14,database query execution failed
1101,Database query execution failed,Database Issue,Medium,10.09,Database Team,Resolved,2026-04-24,database query execution failed
1102,Unable to login after password reset,Password Reset,Critical,2.5,Network Team,In Progress,2025-10-18,unable login password reset
1103,Unable to connect to database,Database Issue,Critical,5.04,Cloud Team,Resolved,2025-12-14,unable connect database
1104,Malware alert triggered,Security Incident,High,7.05,Cloud Team,Open,2026-01-26,malware alert triggered
1105,Laptop not turning on,Hardware Issue,High,10.67,Database Team,Open,2025-07-16,laptop turning
1106,Unable to access internal network,Network Issue,Low,11.74,IT Support,Resolved,2025-08-03,unable access internal network
1107,Suspicious login detected,Security Incident,Critical,9.49,IT Support,Resolved,2026-06-10,suspicious login detected
1108,Keyboard not working properly,Hardware Issue,Low,7.83,Database Team,Resolved,2025-11-25,keyboard working properly
1109,Unable to login after password reset,Password Reset,Critical,6.3,Application Team,Resolved,2025-08-26,unable login password reset
1110,Email attachments not opening,Email Issue,Critical,6.74,Database Team,Closed,2026-06-10,email attachments opening
1111,Suspicious login detected,Security Incident,Critical,11.73,Network Team,In Progress,2025-10-20,suspicious login detected
1112,Laptop not turning on,Hardware Issue,High,6.19,Database Team,Open,2026-02-01,laptop turning
1113,VPN connection failed remotely,VPN Access,Critical,11.39,Network Team,Resolved,2026-03-25,vpn connection failed remotely
1114,Unable to connect to company VPN,VPN Access,Medium,7.6,Database Team,In Progress,2025-12-11,unable connect company vpn
1115,Laptop not turning on,Hardware Issue,Medium,9.25,Database Team,Resolved,2025-07-04,laptop turning
1116,VPN connection failed remotely,VPN Access,Medium,6.59,Network Team,Closed,2026-03-19,vpn connection failed remotely
1117,Software license expired,Software Issue,Critical,3.69,Network Team,Open,2025-09-09,software license expired
1118,VPN connection failed remotely,VPN Access,Medium,2.02,Application Team,Closed,2026-05-16,vpn connection failed remotely
1119,Unable to login after password reset,Password Reset,Medium,8.6,Security Team,Closed,2026-02-16,unable login password reset
1120,Monitor display flickering,Hardware Issue,Critical,4.26,Database Team,Closed,2026-05-24,monitor display flickering
1121,Monitor display flickering,Hardware Issue,High,2.64,Database Team,Resolved,2025-12-31,monitor display flickering
1122,Malware alert triggered,Security Incident,High,2.86,Application Team,Resolved,2025-12-26,malware alert triggered
1123,Azure VM not responding,Cloud Issue,Medium,5.98,Network Team,Open,2025-08-22,azure vm responding
1124,Email attachments not opening,Email Issue,Low,1.79,Database Team,Resolved,2026-03-11,email attachments opening
1125,Unable to access internal network,Network Issue,High,10.48,Network Team,Open,2026-03-05,unable access internal network
1126,Unable to connect to database,Database Issue,Low,6.74,IT Support,Closed,2026-02-04,unable connect database
1127,Unable to connect to company VPN,VPN Access,Medium,10.48,Security Team,In Progress,2026-02-11,unable connect company vpn
1128,Application crashing frequently,Software Issue,High,6.44,Security Team,Open,2025-08-17,application crashing frequently
1129,Email attachments not opening,Email Issue,Medium,2.75,Security Team,Open,2026-03-22,email attachments opening
1130,Unable to install software update,Software Issue,High,8.86,IT Support,In Progress,2026-01-15,unable install software update
1131,Monitor display flickering,Hardware Issue,Low,8.49,IT Support,Open,2025-10-15,monitor display flickering
1132,Database query execution failed,Database Issue,Critical,8.42,Database Team,Closed,2026-01-24,database query execution failed
1133,Keyboard not working properly,Hardware Issue,Medium,3.04,Database Team,In Progress,2026-04-09,keyboard working properly
1134,Internet speed extremely slow,Network Issue,Low,2.75,Database Team,In Progress,2025-08-11,internet speed extremely slow
1135,VPN disconnecting repeatedly,VPN Access,High,8.35,Cloud Team,Resolved,2026-05-29,vpn disconnecting repeatedly
1136,Internet speed extremely slow,Network Issue,High,6.04,IT Support,Open,2026-01-11,internet speed extremely slow
1137,Outlook not syncing emails,Email Issue,Medium,7.36,Security Team,Open,2026-01-07,outlook syncing emails
1138,Azure VM not responding,Cloud Issue,Low,2.16,Database Team,Closed,2025-07-03,azure vm responding
1139,Malware alert triggered,Security Incident,Medium,1.8,Security Team,Closed,2026-05-12,malware alert triggered
1140,Internet speed extremely slow,Network Issue,Medium,6.75,Database Team,Open,2025-10-22,internet speed extremely slow
1141,Unable to login after password reset,Password Reset,Medium,5.36,Database Team,Open,2025-12-20,unable login password reset
1142,SQL server connection timeout,Database Issue,High,9.88,Database Team,In Progress,2026-03-20,sql server connection timeout
1143,Keyboard not working properly,Hardware Issue,Low,5.52,Application Team,In Progress,2026-01-09,keyboard working properly
1144,Dashboard not loading correctly,Application Bug,Medium,11.8,Application Team,Closed,2026-05-03,dashboard loading correctly
1145,Email attachments not opening,Email Issue,Critical,10.45,Network Team,Open,2025-06-26,email attachments opening
1146,Password reset link not working,Password Reset,Low,9.22,IT Support,Closed,2025-09-30,password reset link working
1147,Unable to access internal network,Network Issue,Low,10.97,Network Team,Resolved,2025-10-31,unable access internal network
1148,VPN connection failed remotely,VPN Access,High,8.22,Network Team,In Progress,2026-03-25,vpn connection failed remotely
1149,Dashboard not loading correctly,Application Bug,Critical,5.24,IT Support,Closed,2025-12-22,dashboard loading correctly
1150,Laptop not turning on,Hardware Issue,Medium,5.33,Application Team,In Progress,2025-10-24,laptop turning
1151,API returning unexpected error,Application Bug,Critical,8.58,IT Support,Open,2025-12-16,api returning unexpected error
1152,Outlook not syncing emails,Email Issue,Medium,1.15,Cloud Team,Open,2025-07-11,outlook syncing emails
1153,Unable to connect to database,Database Issue,Low,5.7,IT Support,Resolved,2025-11-06,unable connect database
1154,Monitor display flickering,Hardware Issue,Critical,3.28,Security Team,In Progress,2025-08-13,monitor display flickering
1155,Monitor display flickering,Hardware Issue,Medium,2.12,IT Support,Resolved,2025-08-30,monitor display flickering
1156,SQL server connection timeout,Database Issue,High,5.37,Security Team,Resolved,2025-09-18,sql server connection timeout
1157,Database query execution failed,Database Issue,Critical,6.74,Application Team,In Progress,2025-06-26,database query execution failed
1158,Malware alert triggered,Security Incident,High,5.63,Application Team,Open,2025-07-28,malware alert triggered
1159,Unauthorized access attempt,Security Incident,Medium,11.74,Security Team,Closed,2025-06-27,unauthorized access attempt
1160,Azure VM not responding,Cloud Issue,High,4.86,Application Team,In Progress,2025-07-26,azure vm responding
1161,Unable to connect to company VPN,VPN Access,Critical,1.14,Cloud Team,Resolved,2025-07-12,unable connect company vpn
1162,Unauthorized access attempt,Security Incident,Critical,1.79,Security Team,Open,2025-08-11,unauthorized access attempt
1163,Application crashing frequently,Software Issue,Medium,3.63,Security Team,Open,2026-05-08,application crashing frequently
1164,Unable to connect to company VPN,VPN Access,Medium,10.77,Network Team,Closed,2026-04-13,unable connect company vpn
1165,Unable to access internal network,Network Issue,High,8.7,Application Team,Resolved,2026-05-14,unable access internal network
1166,Password reset link not working,Password Reset,Medium,7.33,Network Team,Closed,2026-04-11,password reset link working
1167,API returning unexpected error,Application Bug,Low,4.86,Security Team,In Progress,2026-04-13,api returning unexpected error
1168,Email attachments not opening,Email Issue,Low,8.27,Security Team,Closed,2025-12-01,email attachments opening
1169,Software license expired,Software Issue,Low,10.21,Security Team,Closed,2026-05-11,software license expired
1170,Azure VM not responding,Cloud Issue,High,11.45,Cloud Team,In Progress,2026-06-03,azure vm responding
1171,Azure VM not responding,Cloud Issue,High,8.58,Network Team,Closed,2025-09-20,azure vm responding
1172,Unable to connect to database,Database Issue,Critical,4.07,IT Support,Open,2025-12-23,unable connect database
1173,Unauthorized access attempt,Security Incident,Critical,9.77,Network Team,Resolved,2025-09-03,unauthorized access attempt
1174,Unable to connect to company VPN,VPN Access,High,3.26,Database Team,Closed,2026-05-30,unable connect company vpn
1175,API returning unexpected error,Application Bug,Medium,1.45,Database Team,In Progress,2025-10-17,api returning unexpected error
1176,Malware alert triggered,Security Incident,Low,1.68,Application Team,Resolved,2025-10-11,malware alert triggered
1177,Unable to connect to company VPN,VPN Access,High,9.15,Security Team,Resolved,2025-07-09,unable connect company vpn
1178,AWS server instance down,Cloud Issue,Critical,2.37,Network Team,In Progress,2026-05-02,aws server instance
1179,Software license expired,Software Issue,Critical,9.07,IT Support,In Progress,2025-11-11,software license expired
1180,Form submission failed,Application Bug,High,1.54,Security Team,Closed,2025-08-12,form submission failed
1181,API returning unexpected error,Application Bug,Medium,9.7,Security Team,Resolved,2025-11-02,api returning unexpected error
1182,Unable to login after password reset,Password Reset,High,3.75,Cloud Team,Closed,2025-07-25,unable login password reset
1183,Email attachments not opening,Email Issue,Low,11.99,IT Support,In Progress,2025-08-05,email attachments opening
1184,Email attachments not opening,Email Issue,Medium,10.64,Database Team,Resolved,2025-09-28,email attachments opening
1185,Dashboard not loading correctly,Application Bug,Medium,6.89,Application Team,In Progress,2026-05-09,dashboard loading correctly
1186,Laptop not turning on,Hardware Issue,High,7.87,Network Team,Resolved,2026-01-09,laptop turning
1187,API returning unexpected error,Application Bug,Medium,8.8,Application Team,Closed,2026-06-05,api returning unexpected error
1188,Database query execution failed,Database Issue,Low,9.17,Cloud Team,Closed,2026-03-29,database query execution failed
1189,Unable to connect to company VPN,VPN Access,Medium,6.21,Database Team,In Progress,2026-03-16,unable connect company vpn
1190,Password reset link not working,Password Reset,Medium,6.77,Database Team,Open,2025-09-23,password reset link working
1191,Laptop not turning on,Hardware Issue,Medium,11.57,Security Team,In Progress,2025-12-01,laptop turning
1192,Suspicious login detected,Security Incident,High,8.09,Application Team,In Progress,2025-07-20,suspicious login detected
1193,Unable to connect to database,Database Issue,Medium,1.23,Security Team,Open,2026-05-15,unable connect database
1194,Outlook not syncing emails,Email Issue,High,1.64,Security Team,Resolved,2026-04-02,outlook syncing emails
1195,Malware alert triggered,Security Incident,Low,4.67,IT Support,Open,2025-07-09,malware alert triggered
1196,VPN disconnecting repeatedly,VPN Access,High,10.53,Application Team,Closed,2026-01-18,vpn disconnecting repeatedly
1197,Unable to install software update,Software Issue,Medium,1.01,Database Team,Open,2026-03-25,unable install software update
1198,Unable to access internal network,Network Issue,Low,3.77,Network Team,Closed,2026-05-07,unable access internal network
1199,Email attachments not opening,Email Issue,High,3.16,Application Team,Open,2025-12-20,email attachments opening
1200,Form submission failed,Application Bug,Critical,8.85,Application Team,Resolved,2026-03-09,form submission failed
1201,Keyboard not working properly,Hardware Issue,Low,11.11,Database Team,Closed,2026-02-13,keyboard working properly
1202,Laptop not turning on,Hardware Issue,Low,6.49,Network Team,Resolved,2025-10-25,laptop turning
1203,Unable to access internal network,Network Issue,High,4.72,Security Team,Resolved,2026-01-05,unable access internal network
1204,Application crashing frequently,Software Issue,Critical,2.68,Security Team,Resolved,2025-08-27,application crashing frequently
1205,WiFi disconnecting frequently,Network Issue,Low,6.28,IT Support,Closed,2025-08-12,wifi disconnecting frequently
1206,Suspicious login detected,Security Incident,Low,11.51,Cloud Team,Resolved,2025-10-04,suspicious login detected
1207,Suspicious login detected,Security Incident,High,6.9,Cloud Team,Closed,2025-07-07,suspicious login detected
1208,AWS server instance down,Cloud Issue,High,7.74,Security Team,Closed,2025-07-26,aws server instance
1209,Unable to connect to company VPN,VPN Access,Low,4.72,Application Team,In Progress,2026-02-11,unable connect company vpn
1210,Laptop not turning on,Hardware Issue,Low,7.12,Database Team,Closed,2025-06-22,laptop turning
1211,Database query execution failed,Database Issue,Medium,8.77,Network Team,Closed,2026-03-31,database query execution failed
1212,Forgot system password,Password Reset,Medium,5.23,Cloud Team,Resolved,2025-07-24,forgot system password
1213,Form submission failed,Application Bug,Medium,10.21,Security Team,In Progress,2025-11-16,form submission failed
1214,Unable to login after password reset,Password Reset,Medium,4.23,Network Team,Closed,2025-08-04,unable login password reset
1215,VPN connection failed remotely,VPN Access,Medium,8.32,Network Team,In Progress,2025-08-12,vpn connection failed remotely
1216,API returning unexpected error,Application Bug,Medium,9.91,IT Support,Closed,2025-10-30,api returning unexpected error
1217,Application crashing frequently,Software Issue,Critical,1.97,Database Team,Closed,2025-12-17,application crashing frequently
1218,Password reset link not working,Password Reset,High,8.19,Network Team,Closed,2025-11-14,password reset link working
1219,Monitor display flickering,Hardware Issue,High,4.32,Application Team,Closed,2026-06-13,monitor display flickering
1220,Application crashing frequently,Software Issue,Critical,2.23,Cloud Team,Closed,2026-02-24,application crashing frequently
1221,Unauthorized access attempt,Security Incident,Medium,7.31,Database Team,Resolved,2026-04-13,unauthorized access attempt
1222,API returning unexpected error,Application Bug,High,4.04,Security Team,In Progress,2026-03-15,api returning unexpected error
1223,Internet speed extremely slow,Network Issue,Low,1.48,Application Team,Open,2026-01-13,internet speed extremely slow
1224,AWS server instance down,Cloud Issue,Low,6.99,IT Support,Closed,2025-08-11,aws server instance
1225,Password reset link not working,Password Reset,Critical,10.63,Security Team,Open,2025-07-09,password reset link working
1226,Email attachments not opening,Email Issue,Medium,8.65,Application Team,Resolved,2026-05-01,email attachments opening
1227,Suspicious login detected,Security Incident,Critical,3.98,Cloud Team,In Progress,2025-08-28,suspicious login detected
1228,Dashboard not loading correctly,Application Bug,Medium,6.87,Application Team,Open,2025-09-15,dashboard loading correctly
1229,Laptop not turning on,Hardware Issue,Medium,3.25,Application Team,Closed,2025-09-15,laptop turning
1230,Unauthorized access attempt,Security Incident,Critical,2.58,Network Team,In Progress,2026-01-21,unauthorized access attempt
1231,Unable to connect to company VPN,VPN Access,Critical,6.16,Cloud Team,Open,2026-01-02,unable connect company vpn
1232,Internet speed extremely slow,Network Issue,Low,4.95,Security Team,Resolved,2025-12-23,internet speed extremely slow
1233,WiFi disconnecting frequently,Network Issue,Medium,9.06,Database Team,In Progress,2025-08-25,wifi disconnecting frequently
1234,Forgot system password,Password Reset,Low,6.05,Database Team,Open,2026-04-06,forgot system password
1235,Database query execution failed,Database Issue,Low,2.57,Database Team,Closed,2026-02-03,database query execution failed
1236,Password reset link not working,Password Reset,Medium,7.78,Application Team,Open,2026-04-03,password reset link working
1237,Internet speed extremely slow,Network Issue,High,7.82,Application Team,Open,2026-06-05,internet speed extremely slow
1238,Unauthorized access attempt,Security Incident,Medium,2.2,Application Team,Resolved,2026-06-16,unauthorized access attempt
1239,Unable to install software update,Software Issue,Low,9.67,Network Team,Closed,2026-06-13,unable install software update
1240,Dashboard not loading correctly,Application Bug,Critical,2.14,Cloud Team,Open,2026-06-06,dashboard loading correctly
1241,Form submission failed,Application Bug,Low,7.25,IT Support,Resolved,2025-06-21,form submission failed
1242,Cloud storage access denied,Cloud Issue,High,8.89,Application Team,Open,2026-05-02,cloud storage access denied
1243,VPN connection failed remotely,VPN Access,Low,9.49,Database Team,Closed,2025-09-12,vpn connection failed remotely
1244,Email attachments not opening,Email Issue,Critical,11.73,Database Team,In Progress,2025-12-02,email attachments opening
1245,SQL server connection timeout,Database Issue,Medium,11.9,IT Support,Closed,2025-12-07,sql server connection timeout
1246,Unable to access internal network,Network Issue,Medium,2.05,Network Team,Resolved,2026-06-18,unable access internal network
1247,Azure VM not responding,Cloud Issue,Low,9.16,Network Team,In Progress,2026-05-09,azure vm responding
1248,Form submission failed,Application Bug,Critical,11.58,Cloud Team,Resolved,2026-05-09,form submission failed
1249,Password reset link not working,Password Reset,Critical,9.78,IT Support,Closed,2025-08-07,password reset link working
1250,SQL server connection timeout,Database Issue,High,10.03,Database Team,Resolved,2026-05-10,sql server connection timeout
1251,Laptop not turning on,Hardware Issue,High,2.84,Database Team,Closed,2025-10-12,laptop turning
1252,Unable to install software update,Software Issue,Low,11.23,IT Support,Open,2026-04-14,unable install software update
1253,Malware alert triggered,Security Incident,Low,7.08,IT Support,Open,2025-09-04,malware alert triggered
1254,Malware alert triggered,Security Incident,Medium,8.31,Cloud Team,Closed,2025-11-27,malware alert triggered
1255,Software license expired,Software Issue,High,11.69,Application Team,In Progress,2025-06-21,software license expired
1256,Azure VM not responding,Cloud Issue,Medium,2.96,Application Team,Resolved,2025-09-10,azure vm responding
1257,Password reset link not working,Password Reset,Low,5.34,Network Team,Closed,2025-12-16,password reset link working
1258,Unauthorized access attempt,Security Incident,Low,3.95,Database Team,Closed,2025-11-20,unauthorized access attempt
1259,AWS server instance down,Cloud Issue,Medium,11.29,Cloud Team,Closed,2025-10-28,aws server instance
1260,Form submission failed,Application Bug,Medium,9.83,Network Team,Open,2026-05-27,form submission failed
1261,Unable to connect to company VPN,VPN Access,Medium,7.95,Database Team,Open,2025-08-31,unable connect company vpn
1262,WiFi disconnecting frequently,Network Issue,High,8.82,Cloud Team,Closed,2025-10-28,wifi disconnecting frequently
1263,Azure VM not responding,Cloud Issue,Low,5.46,IT Support,Open,2025-10-27,azure vm responding
1264,Unable to connect to company VPN,VPN Access,Critical,7.44,IT Support,Closed,2025-10-08,unable connect company vpn
1265,Cloud storage access denied,Cloud Issue,Low,10.92,Application Team,Open,2025-12-25,cloud storage access denied
1266,Software license expired,Software Issue,Medium,4.05,Security Team,In Progress,2025-07-04,software license expired
1267,Unable to login after password reset,Password Reset,Low,8.81,Cloud Team,Closed,2026-04-16,unable login password reset
1268,Email attachments not opening,Email Issue,Low,1.75,IT Support,Open,2026-03-25,email attachments opening
1269,Email attachments not opening,Email Issue,Medium,5.77,Database Team,Closed,2026-06-14,email attachments opening
1270,API returning unexpected error,Application Bug,Low,1.54,IT Support,Open,2025-11-09,api returning unexpected error
1271,Unauthorized access attempt,Security Incident,High,4.47,Cloud Team,Resolved,2026-02-19,unauthorized access attempt
1272,Unable to connect to company VPN,VPN Access,Medium,2.8,Network Team,In Progress,2026-01-23,unable connect company vpn
1273,Unable to send company email,Email Issue,Low,6.67,Cloud Team,Resolved,2026-01-14,unable send company email
1274,Unable to login after password reset,Password Reset,High,6.66,Database Team,In Progress,2026-05-07,unable login password reset
