ticket_id,ticket_description,category,priority,resolution_time_hours,assigned_team,status,created_date
1067,SQL server connection timeout,Database Issue,Medium,9.83,Cloud Team,Resolved,2025-10-20
1068,Unable to connect to company VPN,VPN Access,Medium,7.29,Application Team,In Progress,2026-01-22
1069,Dashboard not loading correctly,Application Bug,Critical,2.06,Security Team,Resolved,2026-02-03
1070,Form submission failed,Application Bug,High,11.16,Cloud Team,In Progress,2026-02-27
1071,Unable to login after password reset,Password Reset,Critical,5.35,Application Team,Open,2025-08-21
1072,Azure VM not responding,Cloud Issue,High,7.94,Database Team,Resolved,2025-12-22
1073,Unable to connect to database,Database Issue,Low,8.51,Network Team,Open,2025-10-01
1074,Azure VM not responding,Cloud Issue,High,6.82,Security Team,Resolved,2026-04-09
1075,Outlook not syncing emails,Email Issue,High,7.11,Security Team,Closed,2025-10-25
1076,API returning unexpected error,Application Bug,High,11.17,Security Team,Resolved,2025-07-28
1077,Application crashing frequently,Software Issue,Low,7.2,Network Team,Resolved,2026-05-24
1078,Malware alert triggered,Security Incident,High,10.38,Network Team,In Progress,2025-09-07
1079,Database query execution failed,Database Issue,High,5.54,Database Team,Closed,2026-04-09
1080,Outlook not syncing emails,Email Issue,Medium,4.61,Security Team,Open,2026-02-27
1081,WiFi disconnecting frequently,Network Issue,Medium,11.2,IT Support,Open,2025-07-21
1082,Unauthorized access attempt,Security Incident,Medium,10.17,IT Support,Closed,2026-04-12
1083,Internet speed extremely slow,Network Issue,Low,4.11,Cloud Team,Open,2026-05-09
1084,Software license expired,Software Issue,High,4.41,Database Team,Open,2026-01-25
1085,AWS server instance down,Cloud Issue,High,9.85,Application Team,In Progress,2026-02-13
1086,Password reset link not working,Password Reset,High,10.24,Database Team,Open,2025-11-30
1087,WiFi disconnecting frequently,Network Issue,Critical,3.0,Application Team,Resolved,2026-01-17
1088,Unable to install software update,Software Issue,High,10.46,Cloud Team,In Progress,2026-03-01
1089,Form submission failed,Application Bug,Medium,2.62,Network Team,Open,2025-08-09
1090,Password reset link not working,Password Reset,Medium,5.67,Database Team,In Progress,2025-09-30
1091,Application crashing frequently,Software Issue,Medium,2.3,Network Team,Closed,2025-12-21
1092,Forgot system password,Password Reset,High,7.91,Application Team,Closed,2025-11-16
1093,Suspicious login detected,Security Incident,High,11.11,IT Support,Open,2026-05-22
1094,Cloud storage access denied,Cloud Issue,High,3.14,Database Team,In Progress,2025-09-19
1095,Password reset link not working,Password Reset,Medium,4.78,IT Support,Resolved,2025-11-28
1096,Unable to login after password reset,Password Reset,Low,10.01,Cloud Team,In Progress,2026-01-31
1097,Unable to access internal network,Network Issue,Medium,4.35,Application Team,Open,2026-05-25
1098,Unable to connect to database,Database Issue,Medium,5.29,Network Team,Closed,2026-05-28
1099,Malware alert triggered,Security Incident,Low,11.38,Security Team,Closed,2026-02-07
1100,Database query execution failed,Database Issue,Critical,3.12,Database Team,In Progress,2026-05-14
1101,Database query execution failed,Database Issue,Medium,10.09,Database Team,Resolved,2026-04-24
1102,Unable to login after password reset,Password Reset,Critical,2.5,Network Team,In Progress,2025-10-18
1103,Unable to connect to database,Database Issue,Critical,5.04,Cloud Team,Resolved,2025-12-14
1104,Malware alert triggered,Security Incident,High,7.05,Cloud Team,Open,2026-01-26
1105,Laptop not turning on,Hardware Issue,High,10.67,Database Team,Open,2025-07-16
1106,Unable to access internal network,Network Issue,Low,11.74,IT Support,Resolved,2025-08-03
1107,Suspicious login detected,Security Incident,Critical,9.49,IT Support,Resolved,2026-06-10
1108,Keyboard not working properly,Hardware Issue,Low,7.83,Database Team,Resolved,2025-11-25
1109,Unable to login after password reset,Password Reset,Critical,6.3,Application Team,Resolved,2025-08-26
1110,Email attachments not opening,Email Issue,Critical,6.74,Database Team,Closed,2026-06-10
1111,Suspicious login detected,Security Incident,Critical,11.73,Network Team,In Progress,2025-10-20
1112,Laptop not turning on,Hardware Issue,High,6.19,Database Team,Open,2026-02-01
1113,VPN connection failed remotely,VPN Access,Critical,11.39,Network Team,Resolved,2026-03-25
1114,Unable to connect to company VPN,VPN Access,Medium,7.6,Database Team,In Progress,2025-12-11
1115,Laptop not turning on,Hardware Issue,Medium,9.25,Database Team,Resolved,2025-07-04
1116,VPN connection failed remotely,VPN Access,Medium,6.59,Network Team,Closed,2026-03-19
1117,Software license expired,Software Issue,Critical,3.69,Network Team,Open,2025-09-09
1118,VPN connection failed remotely,VPN Access,Medium,2.02,Application Team,Closed,2026-05-16
1119,Unable to login after password reset,Password Reset,Medium,8.6,Security Team,Closed,2026-02-16
1120,Monitor display flickering,Hardware Issue,Critical,4.26,Database Team,Closed,2026-05-24
1121,Monitor display flickering,Hardware Issue,High,2.64,Database Team,Resolved,2025-12-31
1122,Malware alert triggered,Security Incident,High,2.86,Application Team,Resolved,2025-12-26
1123,Azure VM not responding,Cloud Issue,Medium,5.98,Network Team,Open,2025-08-22
1124,Email attachments not opening,Email Issue,Low,1.79,Database Team,Resolved,2026-03-11
1125,Unable to access internal network,Network Issue,High,10.48,Network Team,Open,2026-03-05
1126,Unable to connect to database,Database Issue,Low,6.74,IT Support,Closed,2026-02-04
1127,Unable to connect to company VPN,VPN Access,Medium,10.48,Security Team,In Progress,2026-02-11
1128,Application crashing frequently,Software Issue,High,6.44,Security Team,Open,2025-08-17
1129,Email attachments not opening,Email Issue,Medium,2.75,Security Team,Open,2026-03-22
1130,Unable to install software update,Software Issue,High,8.86,IT Support,In Progress,2026-01-15
1131,Monitor display flickering,Hardware Issue,Low,8.49,IT Support,Open,2025-10-15
1132,Database query execution failed,Database Issue,Critical,8.42,Database Team,Closed,2026-01-24
1133,Keyboard not working properly,Hardware Issue,Medium,3.04,Database Team,In Progress,2026-04-09
1134,Internet speed extremely slow,Network Issue,Low,2.75,Database Team,In Progress,2025-08-11
1135,VPN disconnecting repeatedly,VPN Access,High,8.35,Cloud Team,Resolved,2026-05-29
1136,Internet speed extremely slow,Network Issue,High,6.04,IT Support,Open,2026-01-11
1137,Outlook not syncing emails,Email Issue,Medium,7.36,Security Team,Open,2026-01-07
1138,Azure VM not responding,Cloud Issue,Low,2.16,Database Team,Closed,2025-07-03
1139,Malware alert triggered,Security Incident,Medium,1.8,Security Team,Closed,2026-05-12
1140,Internet speed extremely slow,Network Issue,Medium,6.75,Database Team,Open,2025-10-22
1141,Unable to login after password reset,Password Reset,Medium,5.36,Database Team,Open,2025-12-20
1142,SQL server connection timeout,Database Issue,High,9.88,Database Team,In Progress,2026-03-20
1143,Keyboard not working properly,Hardware Issue,Low,5.52,Application Team,In Progress,2026-01-09
1144,Dashboard not loading correctly,Application Bug,Medium,11.8,Application Team,Closed,2026-05-03
1145,Email attachments not opening,Email Issue,Critical,10.45,Network Team,Open,2025-06-26
1146,Password reset link not working,Password Reset,Low,9.22,IT Support,Closed,2025-09-30
1147,Unable to access internal network,Network Issue,Low,10.97,Network Team,Resolved,2025-10-31
1148,VPN connection failed remotely,VPN Access,High,8.22,Network Team,In Progress,2026-03-25
1149,Dashboard not loading correctly,Application Bug,Critical,5.24,IT Support,Closed,2025-12-22
1150,Laptop not turning on,Hardware Issue,Medium,5.33,Application Team,In Progress,2025-10-24
1151,API returning unexpected error,Application Bug,Critical,8.58,IT Support,Open,2025-12-16
1152,Outlook not syncing emails,Email Issue,Medium,1.15,Cloud Team,Open,2025-07-11
1153,Unable to connect to database,Database Issue,Low,5.7,IT Support,Resolved,2025-11-06
1154,Monitor display flickering,Hardware Issue,Critical,3.28,Security Team,In Progress,2025-08-13
1155,Monitor display flickering,Hardware Issue,Medium,2.12,IT Support,Resolved,2025-08-30
1156,SQL server connection timeout,Database Issue,High,5.37,Security Team,Resolved,2025-09-18
1157,Database query execution failed,Database Issue,Critical,6.74,Application Team,In Progress,2025-06-26
1158,Malware alert triggered,Security Incident,High,5.63,Application Team,Open,2025-07-28
1159,Unauthorized access attempt,Security Incident,Medium,11.74,Security Team,Closed,2025-06-27
1160,Azure VM not responding,Cloud Issue,High,4.86,Application Team,In Progress,2025-07-26
1161,Unable to connect to company VPN,VPN Access,Critical,1.14,Cloud Team,Resolved,2025-07-12
1162,Unauthorized access attempt,Security Incident,Critical,1.79,Security Team,Open,2025-08-11
1163,Application crashing frequently,Software Issue,Medium,3.63,Security Team,Open,2026-05-08
1164,Unable to connect to company VPN,VPN Access,Medium,10.77,Network Team,Closed,2026-04-13
1165,Unable to access internal network,Network Issue,High,8.7,Application Team,Resolved,2026-05-14
1166,Password reset link not working,Password Reset,Medium,7.33,Network Team,Closed,2026-04-11
1167,API returning unexpected error,Application Bug,Low,4.86,Security Team,In Progress,2026-04-13
1168,Email attachments not opening,Email Issue,Low,8.27,Security Team,Closed,2025-12-01
1169,Software license expired,Software Issue,Low,10.21,Security Team,Closed,2026-05-11
1170,Azure VM not responding,Cloud Issue,High,11.45,Cloud Team,In Progress,2026-06-03
1171,Azure VM not responding,Cloud Issue,High,8.58,Network Team,Closed,2025-09-20
1172,Unable to connect to database,Database Issue,Critical,4.07,IT Support,Open,2025-12-23
1173,Unauthorized access attempt,Security Incident,Critical,9.77,Network Team,Resolved,2025-09-03
1174,Unable to connect to company VPN,VPN Access,High,3.26,Database Team,Closed,2026-05-30
1175,API returning unexpected error,Application Bug,Medium,1.45,Database Team,In Progress,2025-10-17
1176,Malware alert triggered,Security Incident,Low,1.68,Application Team,Resolved,2025-10-11
1177,Unable to connect to company VPN,VPN Access,High,9.15,Security Team,Resolved,2025-07-09
1178,AWS server instance down,Cloud Issue,Critical,2.37,Network Team,In Progress,2026-05-02
1179,Software license expired,Software Issue,Critical,9.07,IT Support,In Progress,2025-11-11
1180,Form submission failed,Application Bug,High,1.54,Security Team,Closed,2025-08-12
1181,API returning unexpected error,Application Bug,Medium,9.7,Security Team,Resolved,2025-11-02
1182,Unable to login after password reset,Password Reset,High,3.75,Cloud Team,Closed,2025-07-25
1183,Email attachments not opening,Email Issue,Low,11.99,IT Support,In Progress,2025-08-05
1184,Email attachments not opening,Email Issue,Medium,10.64,Database Team,Resolved,2025-09-28
1185,Dashboard not loading correctly,Application Bug,Medium,6.89,Application Team,In Progress,2026-05-09
1186,Laptop not turning on,Hardware Issue,High,7.87,Network Team,Resolved,2026-01-09
1187,API returning unexpected error,Application Bug,Medium,8.8,Application Team,Closed,2026-06-05
1188,Database query execution failed,Database Issue,Low,9.17,Cloud Team,Closed,2026-03-29
1189,Unable to connect to company VPN,VPN Access,Medium,6.21,Database Team,In Progress,2026-03-16
1190,Password reset link not working,Password Reset,Medium,6.77,Database Team,Open,2025-09-23
1191,Laptop not turning on,Hardware Issue,Medium,11.57,Security Team,In Progress,2025-12-01
1192,Suspicious login detected,Security Incident,High,8.09,Application Team,In Progress,2025-07-20
1193,Unable to connect to database,Database Issue,Medium,1.23,Security Team,Open,2026-05-15
1194,Outlook not syncing emails,Email Issue,High,1.64,Security Team,Resolved,2026-04-02
1195,Malware alert triggered,Security Incident,Low,4.67,IT Support,Open,2025-07-09
1196,VPN disconnecting repeatedly,VPN Access,High,10.53,Application Team,Closed,2026-01-18
1197,Unable to install software update,Software Issue,Medium,1.01,Database Team,Open,2026-03-25
1198,Unable to access internal network,Network Issue,Low,3.77,Network Team,Closed,2026-05-07
1199,Email attachments not opening,Email Issue,High,3.16,Application Team,Open,2025-12-20
1200,Form submission failed,Application Bug,Critical,8.85,Application Team,Resolved,2026-03-09
1201,Keyboard not working properly,Hardware Issue,Low,11.11,Database Team,Closed,2026-02-13
1202,Laptop not turning on,Hardware Issue,Low,6.49,Network Team,Resolved,2025-10-25
1203,Unable to access internal network,Network Issue,High,4.72,Security Team,Resolved,2026-01-05
1204,Application crashing frequently,Software Issue,Critical,2.68,Security Team,Resolved,2025-08-27
1205,WiFi disconnecting frequently,Network Issue,Low,6.28,IT Support,Closed,2025-08-12
1206,Suspicious login detected,Security Incident,Low,11.51,Cloud Team,Resolved,2025-10-04
1207,Suspicious login detected,Security Incident,High,6.9,Cloud Team,Closed,2025-07-07
1208,AWS server instance down,Cloud Issue,High,7.74,Security Team,Closed,2025-07-26
1209,Unable to connect to company VPN,VPN Access,Low,4.72,Application Team,In Progress,2026-02-11
1210,Laptop not turning on,Hardware Issue,Low,7.12,Database Team,Closed,2025-06-22
1211,Database query execution failed,Database Issue,Medium,8.77,Network Team,Closed,2026-03-31
1212,Forgot system password,Password Reset,Medium,5.23,Cloud Team,Resolved,2025-07-24
1213,Form submission failed,Application Bug,Medium,10.21,Security Team,In Progress,2025-11-16
1214,Unable to login after password reset,Password Reset,Medium,4.23,Network Team,Closed,2025-08-04
1215,VPN connection failed remotely,VPN Access,Medium,8.32,Network Team,In Progress,2025-08-12
1216,API returning unexpected error,Application Bug,Medium,9.91,IT Support,Closed,2025-10-30
1217,Application crashing frequently,Software Issue,Critical,1.97,Database Team,Closed,2025-12-17
1218,Password reset link not working,Password Reset,High,8.19,Network Team,Closed,2025-11-14
1219,Monitor display flickering,Hardware Issue,High,4.32,Application Team,Closed,2026-06-13
1220,Application crashing frequently,Software Issue,Critical,2.23,Cloud Team,Closed,2026-02-24
1221,Unauthorized access attempt,Security Incident,Medium,7.31,Database Team,Resolved,2026-04-13
1222,API returning unexpected error,Application Bug,High,4.04,Security Team,In Progress,2026-03-15
1223,Internet speed extremely slow,Network Issue,Low,1.48,Application Team,Open,2026-01-13
1224,AWS server instance down,Cloud Issue,Low,6.99,IT Support,Closed,2025-08-11
1225,Password reset link not working,Password Reset,Critical,10.63,Security Team,Open,2025-07-09
1226,Email attachments not opening,Email Issue,Medium,8.65,Application Team,Resolved,2026-05-01
1227,Suspicious login detected,Security Incident,Critical,3.98,Cloud Team,In Progress,2025-08-28
1228,Dashboard not loading correctly,Application Bug,Medium,6.87,Application Team,Open,2025-09-15
1229,Laptop not turning on,Hardware Issue,Medium,3.25,Application Team,Closed,2025-09-15
1230,Unauthorized access attempt,Security Incident,Critical,2.58,Network Team,In Progress,2026-01-21
1231,Unable to connect to company VPN,VPN Access,Critical,6.16,Cloud Team,Open,2026-01-02
1232,Internet speed extremely slow,Network Issue,Low,4.95,Security Team,Resolved,2025-12-23
1233,WiFi disconnecting frequently,Network Issue,Medium,9.06,Database Team,In Progress,2025-08-25
1234,Forgot system password,Password Reset,Low,6.05,Database Team,Open,2026-04-06
1235,Database query execution failed,Database Issue,Low,2.57,Database Team,Closed,2026-02-03
1236,Password reset link not working,Password Reset,Medium,7.78,Application Team,Open,2026-04-03
1237,Internet speed extremely slow,Network Issue,High,7.82,Application Team,Open,2026-06-05
1238,Unauthorized access attempt,Security Incident,Medium,2.2,Application Team,Resolved,2026-06-16
1239,Unable to install software update,Software Issue,Low,9.67,Network Team,Closed,2026-06-13
1240,Dashboard not loading correctly,Application Bug,Critical,2.14,Cloud Team,Open,2026-06-06
1241,Form submission failed,Application Bug,Low,7.25,IT Support,Resolved,2025-06-21
1242,Cloud storage access denied,Cloud Issue,High,8.89,Application Team,Open,2026-05-02
1243,VPN connection failed remotely,VPN Access,Low,9.49,Database Team,Closed,2025-09-12
1244,Email attachments not opening,Email Issue,Critical,11.73,Database Team,In Progress,2025-12-02
1245,SQL server connection timeout,Database Issue,Medium,11.9,IT Support,Closed,2025-12-07
1246,Unable to access internal network,Network Issue,Medium,2.05,Network Team,Resolved,2026-06-18
1247,Azure VM not responding,Cloud Issue,Low,9.16,Network Team,In Progress,2026-05-09
1248,Form submission failed,Application Bug,Critical,11.58,Cloud Team,Resolved,2026-05-09
1249,Password reset link not working,Password Reset,Critical,9.78,IT Support,Closed,2025-08-07
1250,SQL server connection timeout,Database Issue,High,10.03,Database Team,Resolved,2026-05-10
1251,Laptop not turning on,Hardware Issue,High,2.84,Database Team,Closed,2025-10-12
1252,Unable to install software update,Software Issue,Low,11.23,IT Support,Open,2026-04-14
1253,Malware alert triggered,Security Incident,Low,7.08,IT Support,Open,2025-09-04
1254,Malware alert triggered,Security Incident,Medium,8.31,Cloud Team,Closed,2025-11-27
1255,Software license expired,Software Issue,High,11.69,Application Team,In Progress,2025-06-21
1256,Azure VM not responding,Cloud Issue,Medium,2.96,Application Team,Resolved,2025-09-10
1257,Password reset link not working,Password Reset,Low,5.34,Network Team,Closed,2025-12-16
1258,Unauthorized access attempt,Security Incident,Low,3.95,Database Team,Closed,2025-11-20
1259,AWS server instance down,Cloud Issue,Medium,11.29,Cloud Team,Closed,2025-10-28
1260,Form submission failed,Application Bug,Medium,9.83,Network Team,Open,2026-05-27
1261,Unable to connect to company VPN,VPN Access,Medium,7.95,Database Team,Open,2025-08-31
1262,WiFi disconnecting frequently,Network Issue,High,8.82,Cloud Team,Closed,2025-10-28
1263,Azure VM not responding,Cloud Issue,Low,5.46,IT Support,Open,2025-10-27
1264,Unable to connect to company VPN,VPN Access,Critical,7.44,IT Support,Closed,2025-10-08
1265,Cloud storage access denied,Cloud Issue,Low,10.92,Application Team,Open,2025-12-25
1266,Software license expired,Software Issue,Medium,4.05,Security Team,In Progress,2025-07-04
1267,Unable to login after password reset,Password Reset,Low,8.81,Cloud Team,Closed,2026-04-16
1268,Email attachments not opening,Email Issue,Low,1.75,IT Support,Open,2026-03-25
1269,Email attachments not opening,Email Issue,Medium,5.77,Database Team,Closed,2026-06-14
1270,API returning unexpected error,Application Bug,Low,1.54,IT Support,Open,2025-11-09
1271,Unauthorized access attempt,Security Incident,High,4.47,Cloud Team,Resolved,2026-02-19
1272,Unable to connect to company VPN,VPN Access,Medium,2.8,Network Team,In Progress,2026-01-23
1273,Unable to send company email,Email Issue,Low,6.67,Cloud Team,Resolved,2026-01-14
1274,Unable to login after password reset,Password Reset,High,6.66,Database Team,In Progress,2026-05-07
1275,VPN disconnecting repeatedly,VPN Access,Critical,9.19,IT Support,Open,2025-10-15
1276,Cloud storage access denied,Cloud Issue,High,4.78,Cloud Team,Closed,2026-05-12
1277,Email attachments not opening,Email Issue,Low,4.65,Security Team,Open,2026-02-04
1278,Unable to access internal network,Network Issue,High,6.92,IT Support,Resolved,2025-08-31
1279,Password reset link not working,Password Reset,Critical,3.66,Network Team,Closed,2025-12-05
1280,Unable to connect to database,Database Issue,Critical,4.76,Database Team,Resolved,2025-08-26
1281,Laptop not turning on,Hardware Issue,Critical,3.38,Database Team,Closed,2026-05-28
1282,Email attachments not opening,Email Issue,High,7.54,Application Team,Closed,2025-12-11
1283,Unable to install software update,Software Issue,Low,9.59,Database Team,Closed,2026-01-29
1284,WiFi disconnecting frequently,Network Issue,Low,6.65,Security Team,In Progress,2026-06-12
1285,Forgot system password,Password Reset,High,7.09,Database Team,Open,2025-09-22
1286,Unable to connect to company VPN,VPN Access,Critical,3.34,Database Team,In Progress,2026-02-18
1287,Suspicious login detected,Security Incident,High,4.26,Application Team,Open,2025-06-20
1288,Dashboard not loading correctly,Application Bug,Critical,8.82,Application Team,In Progress,2025-12-05
1289,Email attachments not opening,Email Issue,Low,4.67,Network Team,In Progress,2026-05-11
1290,Unauthorized access attempt,Security Incident,Critical,2.89,Database Team,Resolved,2025-07-26
1291,Keyboard not working properly,Hardware Issue,Low,4.14,IT Support,In Progress,2026-03-06
1292,Database query execution failed,Database Issue,Medium,2.86,Security Team,Resolved,2025-09-17
1293,Forgot system password,Password Reset,Critical,11.69,Network Team,Closed,2025-12-06
1294,API returning unexpected error,Application Bug,High,7.21,Database Team,Closed,2026-04-21
1295,Internet speed extremely slow,Network Issue,High,3.22,IT Support,In Progress,2026-04-10
1296,Malware alert triggered,Security Incident,Critical,9.2,Security Team,Open,2026-03-03
1297,Dashboard not loading correctly,Application Bug,Low,6.65,Network Team,Open,2026-02-01
1298,SQL server connection timeout,Database Issue,High,4.52,Application Team,In Progress,2025-07-01
1299,Unable to send company email,Email Issue,Low,10.99,Network Team,In Progress,2026-03-26
1300,Database query execution failed,Database Issue,Low,5.07,Security Team,Closed,2025-08-24
1301,Suspicious login detected,Security Incident,Low,11.51,Database Team,Open,2026-03-10
1302,API returning unexpected error,Application Bug,Medium,5.71,IT Support,Closed,2025-09-01
1303,Monitor display flickering,Hardware Issue,High,11.29,Security Team,Open,2025-06-22
1304,WiFi disconnecting frequently,Network Issue,Critical,10.98,IT Support,Resolved,2025-08-05
1305,SQL server connection timeout,Database Issue,Critical,10.99,Cloud Team,Resolved,2025-09-29
1306,Software license expired,Software Issue,Low,7.21,Network Team,In Progress,2026-03-28
1307,Unable to connect to company VPN,VPN Access,Low,7.26,Network Team,Closed,2025-11-15
1308,Outlook not syncing emails,Email Issue,Low,2.49,Cloud Team,Closed,2025-09-01
1309,Unable to send company email,Email Issue,Critical,10.86,Cloud Team,Open,2025-08-22
1310,Malware alert triggered,Security Incident,Critical,7.66,Network Team,Resolved,2026-02-02
1311,Keyboard not working properly,Hardware Issue,Critical,1.82,IT Support,Closed,2025-10-09
1312,Email attachments not opening,Email Issue,Critical,6.65,Network Team,In Progress,2025-12-20
1313,Form submission failed,Application Bug,High,6.72,IT Support,In Progress,2026-04-21
1314,Software license expired,Software Issue,Critical,1.86,Security Team,In Progress,2025-10-03
1315,Suspicious login detected,Security Incident,Medium,1.87,Cloud Team,In Progress,2026-01-29
1316,Outlook not syncing emails,Email Issue,High,1.86,Network Team,Resolved,2025-09-30
1317,Unable to send company email,Email Issue,Critical,10.56,IT Support,Open,2025-12-13
1318,Cloud storage access denied,Cloud Issue,Medium,2.33,Application Team,Closed,2025-10-21
1319,Password reset link not working,Password Reset,High,5.31,Cloud Team,Closed,2025-08-13
1320,Password reset link not working,Password Reset,High,1.42,Database Team,Resolved,2025-07-12
1321,AWS server instance down,Cloud Issue,Medium,3.79,Database Team,Resolved,2025-07-24
1322,Laptop not turning on,Hardware Issue,High,5.68,Application Team,Resolved,2026-04-28
1323,Email attachments not opening,Email Issue,Critical,6.35,Database Team,Resolved,2026-04-01
1324,API returning unexpected error,Application Bug,Low,2.49,Security Team,Closed,2026-03-11
1325,Unable to install software update,Software Issue,Low,7.7,IT Support,Open,2026-04-14
1326,Forgot system password,Password Reset,Medium,9.51,Application Team,Resolved,2025-12-14
